clade_name	SRR3950465_SRR3950465_db1.metaphlan	SRR3950469_SRR3950469_db1.metaphlan	SRR3950473_SRR3950473_db1.metaphlan	SRR3950478_SRR3950478_db1.metaphlan	SRR3950483_SRR3950483_db1.metaphlan	SRR3950487_SRR3950487_db1.metaphlan
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	0.0	0.0	0.0	0.0	0.37673	0.07771
k__Bacteria|p__Pseudomonadota|c__CFGB2401|o__OFGB2401	0.0	0.0	0.0	0.0	0.2166	0.0
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.0	0.0	0.0	0.0	0.13086	0.02845
k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026	0.0	0.0	0.0	0.0	0.127	0.22697
k__Bacteria|p__Firmicutes|c__CFGB1479|o__OFGB1479	0.0	0.0	0.0	0.0	0.08467	0.00559
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	0.0	0.0	0.0	0.0	0.08039	0.0
k__Bacteria|p__Firmicutes|c__CFGB78291|o__OFGB78291	0.0	0.0	0.0	0.0	0.07858	0.00333
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	0.0	0.0	0.0	0.0	0.00108	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	0.0	0.0	0.0	0.0	0.00087	0.00057
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	0.0	0.0	0.0	0.0	0.00072	0.32068
k__Bacteria|p__Firmicutes|c__CFGB79270|o__OFGB79270	0.0	0.0	0.0	0.0	0.00045	0.02407
k__Bacteria|p__Firmicutes|c__CFGB78785|o__OFGB78785	0.0	0.0	0.0	0.0	0.00011	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB1061|o__OFGB1061	0.0	0.0	0.0	0.0	0.03941	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	0.0	0.0	0.0	0.0	0.03758	0.01993
k__Bacteria|p__Mycoplasmatota|c__CFGB4690|o__OFGB4690	0.0	0.0	0.0	0.0	0.0	1.9563
k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777	0.0	0.0	0.0	0.0	0.0	0.76601
k__Bacteria|p__Firmicutes|c__CFGB10309|o__OFGB10309	0.0	0.0	0.0	0.0	0.0	0.11481
k__Bacteria|p__Firmicutes|c__CFGB9345|o__OFGB9345	0.0	0.0	0.0	0.0	0.0	0.11471
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	0.0	0.0	0.0	0.0	0.0	0.11227
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	0.0	0.0	0.0	0.0	0.0	0.10826
